% Model,COMSOL_plot_Vext.mph
% Version,COMSOL 5.4.0.295
% Date,"Jul 16 2020, 15:23"
% Dimension,2
% Nodes,40401
% Expressions,1
% Description,Electric potential
% Length unit,m
% R,Z,V (V)
0.0000,0.0000,0.12426
1.0000E-6,0.0000,0.12412
2.0000E-6,0.0000,0.12369
3.0000E-6,0.0000,0.12297
4.0000E-6,0.0000,0.12195
5.0000E-6,0.0000,0.12062
6.0000E-6,0.0000,0.11896
7.0000E-6,0.0000,0.11697
8.0000E-6,0.0000,0.11457
9.0000E-6,0.0000,0.11179
1.0000E-5,0.0000,0.10854
1.1000E-5,0.0000,0.10470
1.2000E-5,0.0000,0.10026
1.3000E-5,0.0000,0.094940
1.4000E-5,0.0000,0.087368
1.5000E-5,0.0000,0.077539
1.6000E-5,0.0000,0.068081
1.7000E-5,0.0000,0.060901
1.8000E-5,0.0000,0.055999
1.9000E-5,0.0000,0.051956
2.0000E-5,0.0000,0.048439
2.1000E-5,0.0000,0.045448
2.2000E-5,0.0000,0.042811
2.3000E-5,0.0000,0.040442
2.4000E-5,0.0000,0.038342
2.5000E-5,0.0000,0.036444
2.6000E-5,0.0000,0.034707
2.7000E-5,0.0000,0.033133
2.8000E-5,0.0000,0.031687
2.9000E-5,0.0000,0.030348
3.0000E-5,0.0000,0.029116
3.1000E-5,0.0000,0.027973
3.2000E-5,0.0000,0.026905
3.3000E-5,0.0000,0.025912
3.4000E-5,0.0000,0.024982
3.5000E-5,0.0000,0.024108
3.6000E-5,0.0000,0.023289
3.7000E-5,0.0000,0.022518
3.8000E-5,0.0000,0.021788
3.9000E-5,0.0000,0.021100
4.0000E-5,0.0000,0.020449
4.1000E-5,0.0000,0.019830
4.2000E-5,0.0000,0.019244
4.3000E-5,0.0000,0.018686
4.4000E-5,0.0000,0.018155
4.5000E-5,0.0000,0.017649
4.6000E-5,0.0000,0.017166
4.7000E-5,0.0000,0.016704
4.8000E-5,0.0000,0.016263
4.9000E-5,0.0000,0.015841
5.0000E-5,0.0000,0.015436
5.1000E-5,0.0000,0.015049
5.2000E-5,0.0000,0.014676
5.3000E-5,0.0000,0.014318
5.4000E-5,0.0000,0.013975
5.5000E-5,0.0000,0.013644
5.6000E-5,0.0000,0.013325
5.7000E-5,0.0000,0.013018
5.8000E-5,0.0000,0.012722
5.9000E-5,0.0000,0.012437
6.0000E-5,0.0000,0.012162
6.1000E-5,0.0000,0.011896
6.2000E-5,0.0000,0.011638
6.3000E-5,0.0000,0.011390
6.4000E-5,0.0000,0.011149
6.5000E-5,0.0000,0.010916
6.6000E-5,0.0000,0.010691
6.7000E-5,0.0000,0.010472
6.8000E-5,0.0000,0.010261
6.9000E-5,0.0000,0.010055
7.0000E-5,0.0000,0.0098561
7.1000E-5,0.0000,0.0096626
7.2000E-5,0.0000,0.0094749
7.3000E-5,0.0000,0.0092926
7.4000E-5,0.0000,0.0091153
7.5000E-5,0.0000,0.0089431
7.6000E-5,0.0000,0.0087756
7.7000E-5,0.0000,0.0086126
7.8000E-5,0.0000,0.0084541
7.9000E-5,0.0000,0.0082998
8.0000E-5,0.0000,0.0081494
8.1000E-5,0.0000,0.0080031
8.2000E-5,0.0000,0.0078605
8.3000E-5,0.0000,0.0077214
8.4000E-5,0.0000,0.0075860
8.5000E-5,0.0000,0.0074538
8.6000E-5,0.0000,0.0073249
8.7000E-5,0.0000,0.0071992
8.8000E-5,0.0000,0.0070765
8.9000E-5,0.0000,0.0069567
9.0000E-5,0.0000,0.0068397
9.1000E-5,0.0000,0.0067255
9.2000E-5,0.0000,0.0066139
9.3000E-5,0.0000,0.0065049
9.4000E-5,0.0000,0.0063984
9.5000E-5,0.0000,0.0062942
9.6000E-5,0.0000,0.0061924
9.7000E-5,0.0000,0.0060928
9.8000E-5,0.0000,0.0059954
9.9000E-5,0.0000,0.0059002
1.0000E-4,0.0000,0.0058070
1.0100E-4,0.0000,0.0057157
1.0200E-4,0.0000,0.0056265
1.0300E-4,0.0000,0.0055391
1.0400E-4,0.0000,0.0054535
1.0500E-4,0.0000,0.0053697
1.0600E-4,0.0000,0.0052876
1.0700E-4,0.0000,0.0052071
1.0800E-4,0.0000,0.0051283
1.0900E-4,0.0000,0.0050512
1.1000E-4,0.0000,0.0049755
1.1100E-4,0.0000,0.0049013
1.1200E-4,0.0000,0.0048286
1.1300E-4,0.0000,0.0047573
1.1400E-4,0.0000,0.0046874
1.1500E-4,0.0000,0.0046188
1.1600E-4,0.0000,0.0045515
1.1700E-4,0.0000,0.0044855
1.1800E-4,0.0000,0.0044208
1.1900E-4,0.0000,0.0043573
1.2000E-4,0.0000,0.0042949
1.2100E-4,0.0000,0.0042336
1.2200E-4,0.0000,0.0041735
1.2300E-4,0.0000,0.0041146
1.2400E-4,0.0000,0.0040568
1.2500E-4,0.0000,0.0039999
1.2600E-4,0.0000,0.0039440
1.2700E-4,0.0000,0.0038892
1.2800E-4,0.0000,0.0038352
1.2900E-4,0.0000,0.0037823
1.3000E-4,0.0000,0.0037303
1.3100E-4,0.0000,0.0036793
1.3200E-4,0.0000,0.0036292
1.3300E-4,0.0000,0.0035798
1.3400E-4,0.0000,0.0035313
1.3500E-4,0.0000,0.0034836
1.3600E-4,0.0000,0.0034367
1.3700E-4,0.0000,0.0033906
1.3800E-4,0.0000,0.0033453
1.3900E-4,0.0000,0.0033009
1.4000E-4,0.0000,0.0032572
1.4100E-4,0.0000,0.0032142
1.4200E-4,0.0000,0.0031718
1.4300E-4,0.0000,0.0031302
1.4400E-4,0.0000,0.0030891
1.4500E-4,0.0000,0.0030488
1.4600E-4,0.0000,0.0030090
1.4700E-4,0.0000,0.0029700
1.4800E-4,0.0000,0.0029316
1.4900E-4,0.0000,0.0028938
1.5000E-4,0.0000,0.0028567
1.5100E-4,0.0000,0.0028203
1.5200E-4,0.0000,0.0027844
1.5300E-4,0.0000,0.0027489
1.5400E-4,0.0000,0.0027140
1.5500E-4,0.0000,0.0026796
1.5600E-4,0.0000,0.0026458
1.5700E-4,0.0000,0.0026124
1.5800E-4,0.0000,0.0025796
1.5900E-4,0.0000,0.0025472
1.6000E-4,0.0000,0.0025154
1.6100E-4,0.0000,0.0024841
1.6200E-4,0.0000,0.0024534
1.6300E-4,0.0000,0.0024231
1.6400E-4,0.0000,0.0023933
1.6500E-4,0.0000,0.0023640
1.6600E-4,0.0000,0.0023350
1.6700E-4,0.0000,0.0023065
1.6800E-4,0.0000,0.0022783
1.6900E-4,0.0000,0.0022505
1.7000E-4,0.0000,0.0022231
1.7100E-4,0.0000,0.0021961
1.7200E-4,0.0000,0.0021696
1.7300E-4,0.0000,0.0021433
1.7400E-4,0.0000,0.0021175
1.7500E-4,0.0000,0.0020921
1.7600E-4,0.0000,0.0020671
1.7700E-4,0.0000,0.0020424
1.7800E-4,0.0000,0.0020182
1.7900E-4,0.0000,0.0019943
1.8000E-4,0.0000,0.0019709
1.8100E-4,0.0000,0.0019477
1.8200E-4,0.0000,0.0019249
1.8300E-4,0.0000,0.0019023
1.8400E-4,0.0000,0.0018800
1.8500E-4,0.0000,0.0018580
1.8600E-4,0.0000,0.0018363
1.8700E-4,0.0000,0.0018148
1.8800E-4,0.0000,0.0017937
1.8900E-4,0.0000,0.0017729
1.9000E-4,0.0000,0.0017523
1.9100E-4,0.0000,0.0017320
1.9200E-4,0.0000,0.0017120
1.9300E-4,0.0000,0.0016923
1.9400E-4,0.0000,0.0016729
1.9500E-4,0.0000,0.0016538
1.9600E-4,0.0000,0.0016350
1.9700E-4,0.0000,0.0016164
1.9800E-4,0.0000,0.0015982
1.9900E-4,0.0000,0.0015802
2.0000E-4,0.0000,0.0015625
0.0000,1.0000E-6,0.11599
1.0000E-6,1.0000E-6,0.11585
2.0000E-6,1.0000E-6,0.11542
3.0000E-6,1.0000E-6,0.11470
4.0000E-6,1.0000E-6,0.11369
5.0000E-6,1.0000E-6,0.11237
6.0000E-6,1.0000E-6,0.11073
7.0000E-6,1.0000E-6,0.10874
8.0000E-6,1.0000E-6,0.10639
9.0000E-6,1.0000E-6,0.10362
1.0000E-5,1.0000E-6,0.10041
1.1000E-5,1.0000E-6,0.096675
1.2000E-5,1.0000E-6,0.092198
1.3000E-5,1.0000E-6,0.087289
1.4000E-5,1.0000E-6,0.080980
1.5000E-5,1.0000E-6,0.073594
1.6000E-5,1.0000E-6,0.066374
1.7000E-5,1.0000E-6,0.060332
1.8000E-5,1.0000E-6,0.055811
1.9000E-5,1.0000E-6,0.051728
2.0000E-5,1.0000E-6,0.048303
2.1000E-5,1.0000E-6,0.045344
2.2000E-5,1.0000E-6,0.042710
2.3000E-5,1.0000E-6,0.040374
2.4000E-5,1.0000E-6,0.038284
2.5000E-5,1.0000E-6,0.036388
2.6000E-5,1.0000E-6,0.034667
2.7000E-5,1.0000E-6,0.033097
2.8000E-5,1.0000E-6,0.031652
2.9000E-5,1.0000E-6,0.030322
3.0000E-5,1.0000E-6,0.029092
3.1000E-5,1.0000E-6,0.027950
3.2000E-5,1.0000E-6,0.026886
3.3000E-5,1.0000E-6,0.025895
3.4000E-5,1.0000E-6,0.024966
3.5000E-5,1.0000E-6,0.024095
3.6000E-5,1.0000E-6,0.023276
3.7000E-5,1.0000E-6,0.022505
3.8000E-5,1.0000E-6,0.021778
3.9000E-5,1.0000E-6,0.021090
4.0000E-5,1.0000E-6,0.020439
4.1000E-5,1.0000E-6,0.019822
4.2000E-5,1.0000E-6,0.019236
4.3000E-5,1.0000E-6,0.018679
4.4000E-5,1.0000E-6,0.018148
4.5000E-5,1.0000E-6,0.017643
4.6000E-5,1.0000E-6,0.017160
4.7000E-5,1.0000E-6,0.016699
4.8000E-5,1.0000E-6,0.016259
4.9000E-5,1.0000E-6,0.015837
5.0000E-5,1.0000E-6,0.015432
5.1000E-5,1.0000E-6,0.015045
5.2000E-5,1.0000E-6,0.014672
5.3000E-5,1.0000E-6,0.014315
5.4000E-5,1.0000E-6,0.013971
5.5000E-5,1.0000E-6,0.013640
5.6000E-5,1.0000E-6,0.013322
5.7000E-5,1.0000E-6,0.013015
5.8000E-5,1.0000E-6,0.012720
5.9000E-5,1.0000E-6,0.012434
6.0000E-5,1.0000E-6,0.012159
6.1000E-5,1.0000E-6,0.011893
6.2000E-5,1.0000E-6,0.011636
6.3000E-5,1.0000E-6,0.011388
6.4000E-5,1.0000E-6,0.011147
6.5000E-5,1.0000E-6,0.010914
6.6000E-5,1.0000E-6,0.010689
6.7000E-5,1.0000E-6,0.010471
6.8000E-5,1.0000E-6,0.010259
6.9000E-5,1.0000E-6,0.010054
7.0000E-5,1.0000E-6,0.0098545
7.1000E-5,1.0000E-6,0.0096612
7.2000E-5,1.0000E-6,0.0094735
7.3000E-5,1.0000E-6,0.0092912
7.4000E-5,1.0000E-6,0.0091141
7.5000E-5,1.0000E-6,0.0089419
7.6000E-5,1.0000E-6,0.0087744
7.7000E-5,1.0000E-6,0.0086115
7.8000E-5,1.0000E-6,0.0084530
7.9000E-5,1.0000E-6,0.0082987
8.0000E-5,1.0000E-6,0.0081484
8.1000E-5,1.0000E-6,0.0080021
8.2000E-5,1.0000E-6,0.0078595
